DATE,ISRCPIALLMINMEI
2005-12-01,83.48012
2006-01-01,83.15986
2006-02-01,83.69362
2006-03-01,84.01388
2006-04-01,84.54764
2006-05-01,84.54764
2006-06-01,84.65439
2006-07-01,84.76114
2006-08-01,84.76114
2006-09-01,84.01388
2006-10-01,83.58686999999999
2006-11-01,83.37337
2006-12-01,83.37337
2007-01-01,83.26661999999999
2007-02-01,82.94636
2007-03-01,83.15986
2007-04-01,83.58686999999999
2007-05-01,83.58686999999999
2007-06-01,84.01388
2007-07-01,84.97465
2007-08-01,85.50841
2007-09-01,85.18815
2007-10-01,85.2949
2007-11-01,85.50841
2007-12-01,86.04217
2008-01-01,86.04217
2008-02-01,85.82866999999999
2008-03-01,86.14891999999999
2008-04-01,87.42995
2008-05-01,87.96370999999999
2008-06-01,88.07046
2008-07-01,89.13798
2008-08-01,89.88524
2008-09-01,89.88524
2008-10-01,89.88524
2008-11-01,89.45824
2008-12-01,89.45824
2009-01-01,88.92448
2009-02-01,88.81772
2009-03-01,89.24473
2009-04-01,90.09875
2009-05-01,90.52575999999999
2009-06-01,91.27301999999999
2009-07-01,92.23379
2009-08-01,92.76755
2009-09-01,92.44729
2009-10-01,92.6608
2009-11-01,92.8743
2009-12-01,92.8743
2010-01-01,92.23379
2010-02-01,92.02029
2010-03-01,92.12704000000001
2010-04-01,92.8743
2010-05-01,93.19456
2010-06-01,93.51481
2010-07-01,93.94181999999999
2010-08-01,94.36883
2010-09-01,94.68909000000001
2010-10-01,94.90259
2010-11-01,94.90259
2010-12-01,95.43635
2011-01-01,95.5431
2011-02-01,95.86336
2011-03-01,96.07686
2011-04-01,96.61062
2011-05-01,97.03763000000001
2011-06-01,97.46464
2011-07-01,97.14438
2011-08-01,97.67814
2011-09-01,97.46464
2011-10-01,97.57139000000001
2011-11-01,97.46464
2011-12-01,97.46464
2012-01-01,97.46464
2012-02-01,97.46464
2012-03-01,97.7849
2012-04-01,98.63891
2012-05-01,98.63891
2012-06-01,98.42541
2012-07-01,98.42541
2012-08-01,99.49293
2012-09-01,99.49293
2012-10-01,99.27943
2012-11-01,98.85242
2012-12-01,98.95917
2013-01-01,98.85242
2013-02-01,98.85242
2013-03-01,99.06591999999999
2013-04-01,99.49293
2013-05-01,99.59968
2013-06-01,100.3469
2013-07-01,100.6672
2013-08-01,100.8807
2013-09-01,100.8807
2013-10-01,101.20100000000001
2013-11-01,100.774
2013-12-01,100.8807
2014-01-01,100.2402
2014-02-01,100.1334
2014-03-01,100.3469
2014-04-01,100.4537
2014-05-01,100.5604
2014-06-01,100.8807
2014-07-01,100.9875
2014-08-01,100.8807
2014-09-01,100.5604
2014-10-01,100.8807
2014-11-01,100.6672
2014-12-01,100.6672
2015-01-01,99.81319
2015-02-01,99.06591999999999
2015-03-01,99.38618000000001
2015-04-01,100.0267
2015-05-01,100.2402
2015-06-01,100.4537
2015-07-01,100.6672
2015-08-01,100.4537
2015-09-01,100.1334
2015-10-01,100.2402
2015-11-01,99.81319
2015-12-01,99.70643000000001
2016-01-01,99.17267
2016-02-01,98.85242
2016-03-01,98.63891
2016-04-01,99.06591999999999
2016-05-01,99.38618000000001
2016-06-01,99.70643000000001
2016-07-01,100.1334
2016-08-01,99.81319
2016-09-01,99.70643000000001
2016-10-01,99.91994
2016-11-01,99.49293
2016-12-01,99.49293
2017-01-01,99.27943
2017-02-01,99.27943
2017-03-01,99.59968
2017-04-01,99.81319
2017-05-01,100.2402
2017-06-01,99.49293
2017-07-01,99.38618000000001
2017-08-01,99.70643000000001
2017-09-01,99.81319
2017-10-01,100.1334
2017-11-01,99.81319
2017-12-01,99.91994
2018-01-01,99.38618000000001
2018-02-01,99.49293
2018-03-01,99.81319
2018-04-01,100.2402
2018-05-01,100.6672
2018-06-01,100.774
2018-07-01,100.774
2018-08-01,100.8807
2018-09-01,100.9875
2018-10-01,101.3077
2018-11-01,100.9875
2018-12-01,100.6672
2019-01-01,100.5604
2019-02-01,100.6672
2019-03-01,101.20100000000001
2019-04-01,101.5212
2019-05-01,102.1617
2019-06-01,101.62799999999999
2019-07-01,101.3077
2019-08-01,101.5212
2019-09-01,101.3077
2019-10-01,101.7347
2019-11-01,101.3077
2019-12-01,101.3077
2020-01-01,100.8807
2020-02-01,100.774
2020-03-01,101.20100000000001
2020-04-01,100.8807
2020-05-01,100.5604
2020-06-01,100.4537
2020-07-01,100.6672
2020-08-01,100.6672
2020-09-01,100.5604
2020-10-01,100.8807
2020-11-01,100.6672
2020-12-01,100.5604
2021-01-01,100.4537
2021-02-01,100.774
2021-03-01,101.4145
2021-04-01,101.7347
2021-05-01,102.055
2021-06-01,102.1617
2021-07-01,102.5887
2021-08-01,102.90899999999999
2021-09-01,103.1225
2021-10-01,103.2292
2021-11-01,103.1225
2021-12-01,103.4428
2022-01-01,103.6563
2022-02-01,104.2968
2022-03-01,104.9373
2022-04-01,105.6845
2022-05-01,106.3251
2022-06-01,106.7521
2022-07-01,107.9263
2022-08-01,107.6061
2022-09-01,107.8196
2022-10-01,108.4601
2022-11-01,108.5669
2022-12-01,108.8871
2023-01-01,109.2074
2023-02-01,109.7411
2023-03-01,110.1681
2023-04-01,111.0221
2023-05-01,111.2357
2023-06-01,111.2357
2023-07-01,111.5559
2023-08-01,112.0897
2023-09-01,111.9829
2023-10-01,112.5167
2023-11-01,112.1964
2023-12-01,112.0897
2024-01-01,112.0897
2024-02-01,112.5167
2024-03-01,113.1572
2024-04-01,114.118
2024-05-01,114.3315
2024-06-01,114.4382
